Test,NS,Depth,W,RWD
1,20,2.5,29.3,3.5
2,20,7.5,34.63,2.5
3,20,12.5,34.42,2.5
4,20,17.5,34.99,2.5
5,20,7.5,38.14,6
6,20,12.5,30.3,2
7,20,17.5,30.07,3
8,20,2.5,28.88,3.2
9,20,7.5,37.77,1.05
10,20,12.5,40.3,1
11,20,17.5,41.95,0.7
12,40,2.5,36.71,2.15
13,40,7.5,35.19,1.95
14,40,12.5,40.13,5.3
15,40,17.5,39.48,3.35
16,40,2.5,46.8,9.05
17,40,7.5,34.88,5.85
18,40,12.5,30.57,1.55
19,40,17.5,26.47,0.5
20,40,2.5,22.11,4
21,40,7.5,32.02,3.45
22,40,12.5,29.01,1.25
23,40,17.5,28.5,0.6
24,80,2.5,39.79,5.25
25,80,7.5,44.3,4.45
26,80,12.5,37.6,5.1
27,80,17.5,31.56,1.75
28,80,2.5,30.89,2.25
29,80,7.5,35.54,2.85
30,80,12.5,36.9,2.85
31,80,17.5,36.6,1.35
32,80,2.5,29.83,3.1
33,80,7.5,33.47,7.5
34,80,12.5,33.225,3.2
35,80,17.5,38.487,0.8
