Test,NS,Depth,W,RWD
1,20,2.5,29.3,3.5
2,20,7.5,34.63,2.5
3,20,12.5,34.42,2.5
4,20,17.5,34.99,2.5
5,20,7.5,38.14,6
6,20,12.5,30.3,2
7,20,17.5,30.07,3
8,20,2.5,28.88,3.2
9,20,7.5,37.77,1.05
10,20,12.5,40.3,1
11,20,17.5,41.95,0.7
12,40,2.5,36.71,2.15
13,40,7.5,35.19,1.95
14,40,12.5,40.13,5.3
15,40,17.5,39.48,3.35
16,40,2.5,46.8,9.05
17,40,7.5,34.88,5.85
18,40,12.5,30.57,1.55
19,40,17.5,26.47,0.5
20,40,2.5,22.11,4
21,40,7.5,32.02,3.45
22,40,12.5,29.01,1.25
23,40,17.5,28.5,0.6
24,80,2.5,39.79,5.25
25,80,7.5,44.3,4.45
26,80,12.5,37.6,5.1
27,80,17.5,31.56,1.75
28,80,2.5,30.89,2.25
29,80,7.5,35.54,2.85
30,80,12.5,36.9,2.85
31,80,17.5,36.6,1.35
32,80,2.5,29.83,3.1
33,80,7.5,33.47,7.5
34,80,12.5,33.225,3.2
35,80,17.5,38.487,0.8
36,20,2.5,29.3,0
37,20,7.5,34.63,0
38,20,12.5,34.42,0
39,20,17.5,34.99,0
40,20,7.5,38.14,0
41,20,12.5,30.3,0
42,20,17.5,30.07,0
43,20,2.5,28.88,0
44,20,7.5,37.77,0
45,20,12.5,40.3,0
46,20,17.5,41.95,0
47,40,2.5,36.71,0
48,40,7.5,35.19,0
49,40,12.5,40.13,0
50,40,17.5,39.48,0
51,40,2.5,46.8,0
52,40,7.5,34.88,0
53,40,12.5,30.57,0
54,40,17.5,26.47,0
55,40,2.5,22.11,0
56,40,7.5,32.02,0
57,40,12.5,29.01,0
58,40,17.5,28.5,0
59,80,2.5,39.79,0
60,80,7.5,44.3,0
61,80,12.5,37.6,0
62,80,17.5,31.56,0
63,80,2.5,30.887,0
64,80,7.5,35.54,0
65,80,12.5,36.9,0
66,80,17.5,36.6,0
67,80,2.5,29.83,0
68,80,7.5,33.47,0
69,80,12.5,33.225,0
70,80,17.5,38.49,0
