Test,8,Test,1,Test,12,Test,20,Test,16,Test,32,Test,28,Test,24,Test,43,Test,36,Test,47,Test,55,Test,51,Test,67,Test,63,Test,59,Test,2,Test,5,Test,9,Test,13,Test,21,Test,17,Test,33,Test,29,Test,25,Test,37,Test,40,Test,44,Test,48,Test,56,Test,52,Test,68,Test,64,Test,60,Test,3,Test,6,Test,10,Test,14,Test,22,Test,18,Test,34,Test,30,Test,26,Test,38,Test,41,Test,45,Test,49,Test,57,Test,53,Test,69,Test,65,Test,61,Test,4,Test,7,Test,11,Test,15,Test,23,Test,19,Test,35,Test,31,Test,27,Test,39,Test,42,Test,46,Test,50,Test,58,Test,54,Test,70,Test,66,Test,62
Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.34,0.5,0.3,0.5,0.1,0.5,0.13,0.5,0.07,0.5,0.5,0.5,0.23,0.5,0.15,0.5,1.05,0.5,0.64,0.5,2.17,0.5,1.01,0.5,1.99,0.5,3.25,0.5,4.14,0.5,6.1,0.5,0.25,0.5,0.29,0.5,0.42,0.5,0.15,0.5,0.15,0.5,0.14,0.5,0.44,0.5,0.15,0.5,0.09,0.5,2.19,0.5,1.3,0.5,1.3,0.5,2.15,0.5,1.15,0.5,1.56,0.5,4.06,0.5,4.25,0.5,6.14,0.5,0.3,0.5,0.01,0.5,0.1,0.5,0.1,0.5,0.03,0.5,0.06,0.5,0.24,0.5,0.07,0.5,0.16,0.5,2.01,0.5,0.63,0.5,1.51,0.5,1.47,0.5,0.14,0.5,0.13,0.5,3.91,0.5,4.55,0.5,5.1,0.5,0.45,0.5,0.34,0.5,0.07,0.5,0.15,0.5,0,0.5,0.32,0.5,0.47,0.5,0.16,0.5,0.08,0.5,0.52,0.5,0.86,0.5,1.19,0.5,1.83,0.5,0.16,0.5,0.6,0.5,4.53,0.5,4.3,0.5,3.6
1,0.44,1,0.4,1,0.2,1,0.18,1,0.1,1,0.58,1,0.3,1,0.26,1,1.07,1,0.72,1,2.25,1,1.02,1,2.05,1,3.45,1,4.2,1,6.17,1,0.33,1,0.3,1,0.46,1,0.25,1,0.22,1,0.14,1,0.49,1,0.25,1,0.2,1,2.29,1,1.35,1,1.31,1,2.2,1,1.21,1,1.62,1,4.19,1,4.28,1,6.26,1,0.4,1,0.01,1,0.11,1,0.15,1,0.07,1,0.1,1,0.29,1,0.17,1,0.24,1,2.08,1,0.73,1,1.55,1,1.52,1,0.25,1,0.32,1,4.03,1,4.63,1,5.21,1,0.49,1,0.39,1,0.09,1,0.23,1,0.03,1,0.37,1,0.55,1,0.28,1,0.18,1,0.57,1,0.88,1,1.27,1,1.86,1,0.26,1,0.69,1,4.63,1,4.37,1,3.68
1.5,0.48,1.5,0.44,1.5,0.32,1.5,0.25,1.5,0.11,1.5,0.66,1.5,0.4,1.5,0.35,1.5,1.1,1.5,0.77,1.5,2.34,1.5,1.03,1.5,2.09,1.5,3.55,1.5,4.27,1.5,6.24,1.5,0.45,1.5,0.34,1.5,0.52,1.5,0.32,1.5,0.28,1.5,0.14,1.5,0.58,1.5,0.35,1.5,0.28,1.5,2.37,1.5,1.41,1.5,1.33,1.5,2.25,1.5,1.34,1.5,1.71,1.5,4.32,1.5,4.37,1.5,6.35,1.5,0.44,1.5,0.02,1.5,0.13,1.5,0.21,1.5,0.11,1.5,0.17,1.5,0.37,1.5,0.28,1.5,0.33,1.5,2.15,1.5,0.83,1.5,1.6,1.5,1.59,1.5,0.33,1.5,0.44,1.5,4.15,1.5,4.71,1.5,5.31,1.5,0.53,1.5,0.45,1.5,0.15,1.5,0.34,1.5,0.08,1.5,0.39,1.5,0.63,1.5,0.33,1.5,0.27,1.5,0.66,1.5,0.95,1.5,1.33,1.5,1.94,1.5,0.36,1.5,0.78,1.5,4.77,1.5,4.55,1.5,3.75
2,0.53,2,0.52,2,0.4,2,0.33,2,0.12,2,0.73,2,0.5,2,0.45,2,1.17,2,0.89,2,2.42,2,1.09,2,2.15,2,3.7,2,4.34,2,6.29,2,0.58,2,0.38,2,0.59,2,0.4,2,0.35,2,0.13,2,0.63,2,0.44,2,0.4,2,2.46,2,1.46,2,1.37,2,2.31,2,1.41,2,1.78,2,4.38,2,4.41,2,6.44,2,0.52,2,0.03,2,0.17,2,0.28,2,0.15,2,0.19,2,0.47,2,0.39,2,0.43,2,2.19,2,0.91,2,1.65,2,1.66,2,0.4,2,0.57,2,4.25,2,4.77,2,5.39,2,0.58,2,0.47,2,0.21,2,0.38,2,0.14,2,0.41,2,0.71,2,0.41,2,0.38,2,0.75,2,1.01,2,1.37,2,1.98,2,0.41,2,0.87,2,4.82,2,4.62,2,3.87
2.5,0.56,2.5,0.57,2.5,0.48,2.5,0.36,2.5,0.15,2.5,0.76,2.5,0.58,2.5,0.55,2.5,1.18,2.5,0.93,2.5,2.5,2.5,1.09,2.5,2.17,2.5,3.78,2.5,4.34,2.5,6.32,2.5,0.68,2.5,0.39,2.5,0.6,2.5,0.46,2.5,0.35,2.5,0.13,2.5,0.69,2.5,0.54,2.5,0.47,2.5,2.5,2.5,1.46,2.5,1.37,2.5,2.35,2.5,1.47,2.5,1.8,2.5,4.48,2.5,4.42,2.5,6.52,2.5,0.57,2.5,0.03,2.5,0.19,2.5,0.34,2.5,0.17,2.5,0.21,2.5,0.51,2.5,0.52,2.5,0.52,2.5,2.23,2.5,0.95,2.5,1.66,2.5,1.73,2.5,0.49,2.5,0.68,2.5,4.35,2.5,4.81,2.5,5.45,2.5,0.64,2.5,0.5,2.5,0.2,2.5,0.45,2.5,0.14,2.5,0.41,2.5,0.72,2.5,0.5,2.5,0.47,2.5,0.77,2.5,1.02,2.5,1.39,2.5,1.98,2.5,0.43,2.5,0.91,2.5,4.87,2.5,4.64,2.5,3.92
3,0.6,3,0.6,3,0.55,3,0.44,3,0.17,3,0.8,3,0.63,3,0.64,3,1.18,3,0.97,3,2.58,3,1.08,3,2.19,3,3.89,3,4.37,3,6.37,3,0.78,3,0.41,3,0.6,3,0.52,3,0.38,3,0.13,3,0.73,3,0.63,3,0.55,3,2.56,3,1.48,3,1.38,3,2.42,3,1.53,3,1.84,3,4.55,3,4.45,3,6.6,3,0.6,3,0.03,3,0.2,3,0.36,3,0.18,3,0.25,3,0.58,3,0.63,3,0.62,3,2.25,3,0.97,3,1.67,3,1.82,3,0.54,3,0.8,3,4.45,3,4.87,3,5.49,3,0.7,3,0.51,3,0.22,3,0.53,3,0.15,3,0.41,3,0.77,3,0.58,3,0.5,3,0.82,3,1.06,3,1.42,3,2.02,3,0.45,3,0.96,3,4.95,3,4.68,3,4.15
3.5,0.64,3.5,0.63,3.5,0.64,3.5,0.51,3.5,0.18,3.5,0.86,3.5,0.7,3.5,0.72,3.5,1.21,3.5,1.03,3.5,2.69,3.5,1.17,3.5,2.24,3.5,3.97,3.5,4.42,3.5,6.38,3.5,0.84,3.5,0.45,3.5,0.65,3.5,0.6,3.5,0.42,3.5,0.13,3.5,0.8,3.5,0.71,3.5,0.64,3.5,2.6,3.5,1.52,3.5,1.41,3.5,2.5,3.5,1.58,3.5,1.89,3.5,4.61,3.5,4.53,3.5,6.65,3.5,0.63,3.5,0.03,3.5,0.23,3.5,0.4,3.5,0.21,3.5,0.29,3.5,0.67,3.5,0.74,3.5,0.67,3.5,2.3,3.5,1.04,3.5,1.71,3.5,1.93,3.5,0.59,3.5,0.9,3.5,4.52,3.5,4.93,3.5,5.53,3.5,0.76,3.5,0.53,3.5,0.3,3.5,0.59,3.5,0.22,3.5,0.41,3.5,0.84,3.5,0.66,3.5,0.55,3.5,0.9,3.5,1.1,3.5,1.49,3.5,2.05,3.5,0.5,3.5,1.01,3.5,5.01,3.5,4.72,3.5,4.22
4,0.66,4,0.73,4,0.7,4,0.53,4,0.21,4,0.89,4,0.76,4,0.76,4,1.27,4,1.11,4,2.75,4,1.17,4,2.26,4,4.03,4,4.46,4,6.4,4,0.9,4,0.47,4,0.7,4,0.65,4,0.5,4,0.13,4,0.8,4,0.8,4,0.69,4,2.62,4,1.53,4,1.44,4,2.56,4,1.61,4,1.92,4,4.69,4,4.55,4,6.69,4,0.73,4,0.03,4,0.28,4,0.44,4,0.26,4,0.29,4,0.7,4,0.82,4,0.75,4,2.34,4,1.05,4,1.74,4,2,4,0.64,4,0.96,4,4.61,4,4.97,4,5.57,4,0.82,4,0.53,4,0.3,4,0.66,4,0.25,4,0.4,4,0.87,4,0.74,4,0.59,4,0.94,4,1.14,4,1.52,4,2.05,4,0.51,4,1.05,4,5.06,4,4.8,4,4.3
