Test,8,Test,1,Test,12,Test,20,Test,16,Test,32,Test,28,Test,24,Test,43,Test,36,Test,47,Test,55,Test,51,Test,67,Test,63,Test,59,Test,2,Test,5,Test,9,Test,13,Test,21,Test,17,Test,33,Test,29,Test,25,Test,37,Test,40,Test,44,Test,48,Test,56,Test,52,Test,68,Test,64,Test,60,Test,3,Test,6,Test,10,Test,14,Test,22,Test,18,Test,34,Test,30,Test,26,Test,38,Test,41,Test,45,Test,49,Test,57,Test,53,Test,69,Test,65,Test,61,Test,4,Test,7,Test,11,Test,15,Test,23,Test,19,Test,35,Test,31,Test,27,Test,39,Test,42,Test,46,Test,50,Test,58,Test,54,Test,70,Test,66,Test,62
Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,5.2,0.5,3,0.5,6.5,0.5,9.8,0.5,8.7,0.5,14.2,0.5,17,0.5,10.3,0.5,6.5,0.5,4.9,0.5,9.6,0.5,9.6,0.5,10.3,0.5,10.4,0.5,16.8,0.5,18.7,0.5,4.2,0.5,5,0.5,6.1,0.5,5.8,0.5,8.9,0.5,13.5,0.5,16.8,0.5,16.4,0.5,13.2,0.5,5,0.5,4.7,0.5,5.5,0.5,8.3,0.5,8.2,0.5,9.2,0.5,13.5,0.5,15.6,0.5,15.5,0.5,4.5,0.5,5.5,0.5,6.8,0.5,7.4,0.5,9.9,0.5,13.1,0.5,9.8,0.5,10,0.5,6,0.5,4.5,0.5,5.1,0.5,5.3,0.5,10.5,0.5,5.5,0.5,6.3,0.5,7.1,0.5,14,0.5,14.4,0.5,5.8,0.5,3.7,0.5,5.1,0.5,10.2,0.5,6.9,0.5,5.9,0.5,17.5,0.5,17,0.5,10,0.5,5,0.5,6,0.5,5,0.5,8.9,0.5,9.4,0.5,8.4,0.5,13.5,0.5,17.2,0.5,17.1
1,6.8,1,4.7,1,10,1,12.7,1,14.9,1,22.9,1,22.1,1,19.5,1,8.1,1,5.9,1,11.8,1,13.8,1,13.2,1,16.7,1,22.9,1,23.8,1,5.5,1,7.1,1,7.6,1,10.5,1,13,1,16,1,23.3,1,20.8,1,20.7,1,6.5,1,5.2,1,6.9,1,11.1,1,11.3,1,11.8,1,17.9,1,22,1,22,1,6.2,1,7.7,1,7.9,1,10.2,1,14.2,1,15.9,1,17.5,1,15.6,1,16,1,5.9,1,6.2,1,6.5,1,12.8,1,8.6,1,9.1,1,14.7,1,21.7,1,20.7,1,6,1,7.9,1,6.3,1,12.8,1,13.1,1,10.1,1,20.2,1,23.1,1,18.6,1,6.5,1,6.8,1,6.2,1,11.2,1,12.4,1,10.9,1,19.7,1,24,1,22
1.5,8,1.5,5.4,1.5,11.9,1.5,14.7,1.5,16.7,1.5,27.4,1.5,25,1.5,23.7,1.5,9,1.5,6.7,1.5,12.7,1.5,15.5,1.5,14.6,1.5,19,1.5,26,1.5,26.6,1.5,6.3,1.5,8.6,1.5,8.6,1.5,13.1,1.5,14.2,1.5,18.8,1.5,27,1.5,23.8,1.5,24.6,1.5,6.8,1.5,6.8,1.5,7.6,1.5,13,1.5,12.7,1.5,13.3,1.5,21.6,1.5,24.6,1.5,24.2,1.5,7.3,1.5,9.5,1.5,8,1.5,12.3,1.5,15.1,1.5,18.7,1.5,21.1,1.5,20.5,1.5,20.6,1.5,6.6,1.5,6.8,1.5,7.2,1.5,14.2,1.5,10.5,1.5,10,1.5,18.4,1.5,26.1,1.5,23.7,1.5,8.1,1.5,10,1.5,7.1,1.5,14.5,1.5,15.3,1.5,16.3,1.5,24.3,1.5,26.5,1.5,23.5,1.5,7.1,1.5,7.7,1.5,6.9,1.5,12.8,1.5,14.5,1.5,12,1.5,25,1.5,27,1.5,23.6
2,8.7,2,6.4,2,13,2,15.4,2,17.9,2,29.8,2,26.3,2,26.9,2,9.7,2,7.2,2,13.1,2,17.1,2,15.6,2,21.8,2,27.6,2,28.9,2,7.1,2,9.5,2,9.5,2,14.7,2,15.5,2,21.5,2,29.1,2,26,2,26.8,2,7.5,2,7.5,2,8.5,2,14.3,2,14,2,14.8,2,23.1,2,27.2,2,26.3,2,8.1,2,10.2,2,8.6,2,13.7,2,17.2,2,20.8,2,24,2,23.4,2,24.4,2,7.2,2,7.5,2,7.9,2,15.1,2,11.8,2,11.7,2,21,2,28.8,2,26.2,2,8.5,2,11.7,2,8.1,2,15.5,2,16.2,2,20.6,2,26.8,2,29.5,2,27,2,7.7,2,8.2,2,7.7,2,14.3,2,15.5,2,13.1,2,26.6,2,29.6,2,25.5
2.5,9.7,2.5,7.5,2.5,15,2.5,16.4,2.5,19.2,2.5,33,2.5,29.4,2.5,30.1,2.5,10.4,2.5,8,2.5,14,2.5,18.7,2.5,16.7,2.5,24.2,2.5,29.9,2.5,31.1,2.5,7.8,2.5,10.4,2.5,10,2.5,16.7,2.5,16.8,2.5,23,2.5,31.6,2.5,28.3,2.5,29,2.5,8,2.5,8.3,2.5,9.1,2.5,15.6,2.5,15.2,2.5,15.7,2.5,25.2,2.5,29.7,2.5,28.1,2.5,8.5,2.5,11.3,2.5,9.9,2.5,15.1,2.5,18.6,2.5,22.8,2.5,26.6,2.5,26.7,2.5,27.4,2.5,7.5,2.5,7.6,2.5,8.5,2.5,15.6,2.5,13.5,2.5,12.9,2.5,23.7,2.5,31.1,2.5,29.8,2.5,9.3,2.5,13,2.5,9.2,2.5,16.4,2.5,19.3,2.5,23.4,2.5,27,2.5,31.5,2.5,28,2.5,8.2,2.5,9,2.5,8,2.5,15.9,2.5,16.8,2.5,14.3,2.5,28.7,2.5,31.8,2.5,26.9
3,10.9,3,8.4,3,16.3,3,17.6,3,20.4,3,36,3,31.9,3,32.7,3,10.8,3,8.5,3,14.1,3,20.1,3,17.5,3,26.5,3,31.8,3,32.3,3,8.4,3,11,3,10.6,3,18.1,3,17.6,3,24.7,3,33.8,3,30.2,3,30.8,3,8,3,8.9,3,9.4,3,16.5,3,16.3,3,16.7,3,27,3,31.6,3,30,3,9.1,3,12.2,3,10.9,3,16.3,3,20,3,24.4,3,29.5,3,29,3,30,3,8.1,3,8,3,8.9,3,15.8,3,14.7,3,14.2,3,26,3,33.3,3,33.2,3,10.2,3,14,3,10.2,3,17.4,3,20.9,3,25.8,3,30,3,33.4,3,30.7,3,8.8,3,9.5,3,8.7,3,16.8,3,17.9,3,15.2,3,30.9,3,33.3,3,28
3.5,11.4,3.5,9.3,3.5,17.3,3.5,19,3.5,21.1,3.5,38.4,3.5,33.8,3.5,33,3.5,11.5,3.5,8.9,3.5,14.6,3.5,21.2,3.5,18.2,3.5,27.7,3.5,32.5,3.5,33,3.5,8.8,3.5,11.6,3.5,11,3.5,19.2,3.5,18.7,3.5,25.5,3.5,33.3,3.5,31.6,3.5,31.7,3.5,8.2,3.5,9.2,3.5,9.8,3.5,16.6,3.5,16.6,3.5,17.3,3.5,28,3.5,32.6,3.5,30.9,3.5,9.6,3.5,12.7,3.5,11.5,3.5,16.9,3.5,21,3.5,25.6,3.5,31,3.5,30.4,3.5,31.7,3.5,8.5,3.5,8.8,3.5,9.2,3.5,15.8,3.5,15.6,3.5,14.9,3.5,27.2,3.5,34,3.5,29.3,3.5,11,3.5,15,3.5,10.7,3.5,17.8,3.5,22.4,3.5,28.4,3.5,31.7,3.5,34.9,3.5,33.4,3.5,9.2,3.5,10,3.5,8.8,3.5,17.2,3.5,18.9,3.5,16,3.5,31.8,3.5,34,3.5,29
4,11.9,4,9.9,4,18.2,4,19.9,4,21.9,4,40.4,4,35.8,4,36.2,4,12,4,9.2,4,15.2,4,21.9,4,18.5,4,29.4,4,32.7,4,33.8,4,9.1,4,12,4,11.8,4,20.2,4,19.5,4,26.8,4,34.2,4,33.4,4,33.2,4,8.4,4,9.5,4,10,4,16.8,4,16.9,4,17.7,4,29.5,4,33.4,4,32.4,4,10,4,13.3,4,12.1,4,17.8,4,22.2,4,27,4,33.4,4,32.4,4,33.5,4,8.7,4,9.3,4,9.5,4,15.8,4,16.5,4,15.6,4,28.3,4,34.5,4,28.7,4,11.2,4,15.8,4,11.4,4,18.3,4,23.7,4,30.3,4,33.2,4,36.6,4,35.5,4,9.4,4,10.6,4,9.1,4,17.8,4,19.8,4,16.9,4,32.6,4,34.8,4,30
