W,RWD,RD,STRESS
20,0,0,50.28494804
20,0,0,54.69590839
20,0,0,56.46029253
20,1,1,74.10413395
20,1,1,67.04659739
20,1,1,57.34248461
20,2,1,72.33974981
20,2,1,83.80824673
20,2,1,70.57536567
20,3,1,101.4520881
20,3,1,87.33701501
20,3,1,93.51235951
20,4,1,90.8657833
20,4,1,98.80551194
20,4,1,95.27674365
25,0,0,22.05480177
25,0,0,44.10960354
25,0,0,37.93425905
25,1,1,39.69864319
25,1,1,44.10960354
25,1,1,57.34248461
25,2,1,60.87125289
25,2,1,63.5178291
25,2,1,66.16440531
25,3,1,83.80824673
25,3,1,85.57263087
25,3,1,81.16167052
25,4,1,87.33701501
25,4,1,86.45482294
25,4,1,84.6904388
30,0,0,31.75891455
30,0,0,30.87672248
30,0,0,24.70137798
30,1,1,40.58083526
30,1,1,37.05206698
30,1,1,35.28768283
30,2,1,35.28768283
30,2,1,30.87672248
30,2,1,34.40549076
30,3,1,31.75891455
30,3,1,38.81645112
30,3,1,34.40549076
30,4,1,40.58083526
30,4,1,45.87398768
30,4,1,39.69864319
35,0,0,20.29041763
35,0,0,17.64384142
35,0,0,20.29041763
35,1,1,30.87672248
35,1,1,25.58357005
35,1,1,26.46576213
35,2,1,30.87672248
35,2,1,33.52329869
35,2,1,29.11233834
35,3,1,28.23014627
35,3,1,34.40549076
35,3,1,34.40549076
35,4,1,42.3452194
35,4,1,39.69864319
35,4,1,37.05206698
20,0,0,50.28494804
20,0,0,54.69590839
20,0,0,56.46029253
20,1,2,67.92878946
20,1,2,68.81098153
20,1,2,68.36988549
20,2,2,80.27947845
20,2,2,86.45482294
20,2,2,63.5178291
20,3,2,89.98359123
20,3,2,78.51509431
20,3,2,84.24934277
20,4,2,89.98359123
20,4,2,97.04112779
20,4,2,92.63016744
25,0,0,22.05480177
25,0,0,44.10960354
25,0,0,37.93425905
25,1,2,41.46302733
25,1,2,37.93425905
25,1,2,44.10960354
25,2,2,41.46302733
25,2,2,48.5205639
25,2,2,46.75617976
25,3,2,48.5205639
25,3,2,46.75617976
25,3,2,50.28494804
25,4,2,53.81371632
25,4,2,56.46029253
25,4,2,61.75344496
30,0,0,31.75891455
30,0,0,30.87672248
30,0,0,24.70137798
30,1,2,27.3479542
30,1,2,22.93699384
30,1,2,31.75891455
30,2,2,31.75891455
30,2,2,32.64110662
30,2,2,25.58357005
30,3,2,40.58083526
30,3,2,44.99179561
30,3,2,34.40549076
30,4,2,42.3452194
30,4,2,40.58083526
30,4,2,44.99179561
35,0,0,20.29041763
35,0,0,17.64384142
35,0,0,20.29041763
35,1,2,12.35068899
35,1,2,14.11507313
35,1,2,14.11507313
35,2,2,19.40822556
35,2,2,17.64384142
35,2,2,21.1726097
35,3,2,19.40822556
35,3,2,20.29041763
35,3,2,22.05480177
35,4,2,25.58357005
35,4,2,26.46576213
35,4,2,29.11233834
20,0,0,50.28494804
20,0,0,54.69590839
20,0,0,56.46029253
20,1,3,52.04933218
20,1,3,55.57810046
20,1,3,47.63837183
20,2,3,62.63563703
20,2,3,66.16440531
20,2,3,63.5178291
20,3,3,61.75344496
20,3,3,64.40002117
20,3,3,67.04659739
20,4,3,72.33974981
20,4,3,65.28221324
20,4,3,68.81098153
25,0,0,22.05480177
25,0,0,44.10960354
25,0,0,37.93425905
25,1,3,28.23014627
25,1,3,27.3479542
25,1,3,31.75891455
25,2,3,35.28768283
25,2,3,42.3452194
25,2,3,29.99453041
25,3,3,44.10960354
25,3,3,46.75617976
25,3,3,52.93152425
25,4,3,57.34248461
25,4,3,61.75344496
25,4,3,60.87125289
30,0,0,31.75891455
30,0,0,30.87672248
30,0,0,24.70137798
30,1,3,17.64384142
30,1,3,16.76164935
30,1,3,24.70137798
30,2,3,28.23014627
30,2,3,30.87672248
30,2,3,32.64110662
30,3,3,40.58083526
30,3,3,37.05206698
30,3,3,43.22741147
30,4,3,39.69864319
30,4,3,37.05206698
30,4,3,43.22741147
35,0,0,20.29041763
35,0,0,17.64384142
35,0,0,20.29041763
35,1,3,9.704112779
35,1,3,13.23288106
35,1,3,16.76164935
35,2,3,18.52603349
35,2,3,18.52603349
35,2,3,22.05480177
35,3,3,22.05480177
35,3,3,22.93699384
35,3,3,23.81918591
35,4,3,22.05480177
35,4,3,25.58357005
35,4,3,25.58357005
